fk_customer,channel,partner,device,first_sale_number,age,gender,state,expected_delivery_date,delivered_date,first_sale_date,second_sale_date,has_marketplace,has_crossdocking,has_private_label,has_brands,gmv
27192412,SEM BRAND,GOOGLE,M+T SITE,93696214,27,female,bahia,20180525,20180517,20180509,,0,0,0,1,149.97
33348531,DIRECT,EXCHANGED,M+T SITE,4469360677,21,female,rio de janeiro,,20190531,20190513,20190520,1,0,0,0,45.21
26398156,DISPLAY,INMOBI,APP ANDROID,26173494,21,female,rio grande do norte,20180314,20180307,20180227,,0,0,1,0,279.79
34878217,ORGANIC,GOOGLE,DESKTOP,4471182120,28,female,rio de janeiro,20190717,20190704,20190630,,0,0,0,0,149.90
31996308,ORGANIC,GOOGLE,DESKTOP,4467828084,19,male,são paulo,,20190416,20190329,,1,0,0,0,98.69
33970548,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4469728085,42,female,são paulo,,20190611,20190522,,1,0,0,0,139.90
32221379,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4469422720,30,male,rio de janeiro,20190527,20190521,20190515,,0,0,0,1,159.99
35364239,AFFILIATES - GENERAL,ZANOX,DESKTOP,4472008478,40,male,são paulo,20190724,20190724,20190722,,0,0,1,0,69.99
34201996,SEO,GOOGLE,APP ANDROID,4470084852,28,female,ceará,,20190702,20190531,,1,0,0,0,239.70
35532703,DIRECT,UNKNOWN,M+T SITE,4472455929,22,female,santa catarina,,20190815,20190803,,1,0,0,0,99.00
31197900,ORGANIC,GOOGLE,M+T SITE,4466064784,34,female,são paulo,20190204,20190201,20190130,20190310,0,0,0,1,159.98
27805462,ORGANIC,GOOGLE,DESKTOP,315325,43,female,são paulo,20180620,20180620,20180614,20180614,1,0,0,0,49.90
30052352,COMPARISON,GOOGLE,M+T SITE,4463592538,23,female,santa catarina,20181207,20181128,20181122,,0,0,0,0,99.99
25834829,SEM NON-BRAND,GOOGLE,DESKTOP,76778844,52,female,sao paulo,20180117,20180115,20180109,20180109,1,0,0,0,157.48
35436990,COMPARISON,GOOGLE,DESKTOP,4472214553,47,female,são paulo,20190827,20190812,20190728,,0,1,0,1,467.98
29979613,ORGANIC,GOOGLE,M+T SITE,4463424620,27,female,rio grande do sul,20181204,20181129,20181118,20181220,0,0,0,1,94.99
30239431,COMPARISON,GOOGLE,M+T SITE,4464054970,47,female,são paulo,20181217,20181205,20181126,,0,0,0,1,45.99
34850642,SEM NON-BRAND,GOOGLE,M+T SITE,4471161584,32,female,alagoas,20190711,20190708,20190629,,0,0,0,1,239.80
